inning,inning_side,bases,outs,-4,-3,-2,-1,0,1,2,3,4
2,bottom,111,0,2.3,2.4,2.4,2.2,1.9,1.6,1.2,0.9,0.6
2,bottom,000,1,0.5,0.6,0.7,0.7,0.7,0.6,0.5,0.4,0.3
2,bottom,100,1,1,1.2,1.3,1.3,1.2,1,0.8,0.6,0.5
2,bottom,010,1,1,1.2,1.3,1.3,1.2,1.1,0.9,0.7,0.5
2,bottom,001,1,1,1.2,1.3,1.4,1.4,1.2,1,0.8,0.6
2,bottom,110,1,1.7,2,2.1,2.1,2,1.7,1.3,1,0.7
2,bottom,101,1,1.5,1.8,1.9,1.9,1.8,1.6,1.3,1,0.7
2,bottom,011,1,1.4,1.6,1.7,1.6,1.5,1.3,1,0.8,0.6
2,bottom,111,1,2.5,2.7,2.8,2.7,2.4,2.1,1.7,1.3,0.9
2,bottom,000,2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.2,0.2
2,bottom,100,2,0.6,0.8,0.9,0.9,0.8,0.7,0.6,0.5,0.3
2,bottom,010,2,0.8,1,1.2,1.2,1.2,1,0.9,0.7,0.5
2,bottom,001,2,1,1.2,1.3,1.4,1.4,1.2,1,0.8,0.6
2,bottom,110,2,1.3,1.6,1.8,1.8,1.7,1.5,1.2,0.9,0.7
2,bottom,101,2,1.4,1.7,1.9,1.9,1.8,1.6,1.3,1,0.7
2,bottom,011,2,1.6,1.9,2.1,2.1,2,1.7,1.4,1.1,0.8
2,bottom,111,2,2.5,2.8,3.1,3.1,2.9,2.5,2,1.5,1.1
3,top,000,0,0.4,0.6,0.7,0.9,1,1,1,0.9,0.7
3,top,100,0,0.6,0.9,1.1,1.4,1.6,1.7,1.6,1.4,1.2
3,top,010,0,0.5,0.7,0.9,1.1,1.3,1.4,1.4,1.2,1
3,top,001,0,0.4,0.6,0.8,1,1.1,1.2,1.2,1.1,1
3,top,110,0,0.8,1,1.4,1.7,2,2.2,2.1,2,1.7
3,top,101,0,0.6,0.8,1.1,1.4,1.6,1.8,1.9,1.8,1.6
3,top,011,0,0.5,0.8,1,1.2,1.5,1.6,1.7,1.6,1.4
3,top,111,0,0.7,1,1.4,1.8,2.1,2.4,2.6,2.5,2.3
3,top,000,1,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.6,0.5
3,top,100,1,0.5,0.7,1,1.2,1.3,1.4,1.3,1.1,0.9
3,top,010,1,0.6,0.8,1,1.2,1.3,1.4,1.3,1.1,0.9
3,top,001,1,0.6,0.9,1.1,1.3,1.5,1.5,1.3,1.1,0.9
3,top,110,1,0.9,1.2,1.5,1.8,2.1,2.2,2.1,1.9,1.6
3,top,101,1,0.8,1.1,1.4,1.7,1.9,2,1.9,1.7,1.5
3,top,011,1,0.7,0.9,1.2,1.4,1.6,1.7,1.7,1.6,1.3
3,top,111,1,1.1,1.4,1.9,2.3,2.7,2.9,2.9,2.7,2.4
3,top,000,2,0.2,0.3,0.4,0.4,0.5,0.5,0.4,0.4,0.3
3,top,100,2,0.4,0.5,0.7,0.8,0.9,0.9,0.8,0.7,0.6
3,top,010,2,0.6,0.8,1,1.1,1.3,1.3,1.1,1,0.8
