inning,inning_side,bases,outs,-4,-3,-2,-1,0,1,2,3,4
7,bottom,000,1,0.5,0.8,1.1,1.4,1.2,0.6,0.3,0.2,0.1
7,bottom,100,1,1,1.5,2.1,2.5,2,1.1,0.6,0.3,0.2
7,bottom,010,1,1,1.5,2.1,2.6,2.1,1.1,0.6,0.3,0.2
7,bottom,001,1,1,1.5,2.1,2.9,2.5,1.3,0.7,0.4,0.2
7,bottom,110,1,1.9,2.7,3.6,4,3,1.6,0.9,0.5,0.3
7,bottom,101,1,1.8,2.6,3.2,3.7,3.1,1.6,0.9,0.5,0.3
7,bottom,011,1,1.7,2.4,3,3,2.5,1.3,0.7,0.4,0.2
7,bottom,111,1,3.1,4.2,4.9,4.8,3.7,2,1.1,0.6,0.3
7,bottom,000,2,0.2,0.4,0.7,1,0.8,0.4,0.2,0.1,0.1
7,bottom,100,2,0.5,0.9,1.4,1.8,1.5,0.8,0.4,0.2,0.1
7,bottom,010,2,0.7,1.1,1.8,2.6,2.2,1.1,0.7,0.4,0.2
7,bottom,001,2,0.8,1.3,2,3,2.6,1.4,0.8,0.4,0.2
7,bottom,110,2,1.2,2,2.9,3.6,2.9,1.5,0.8,0.5,0.2
7,bottom,101,2,1.3,2.1,3,3.8,3.1,1.6,0.9,0.5,0.3
7,bottom,011,2,1.5,2.4,3.6,4.3,3.3,1.7,1,0.5,0.3
7,bottom,111,2,2.6,3.9,5.2,5.9,4.5,2.4,1.3,0.7,0.4
8,top,000,0,0.2,0.3,0.6,1,1.9,2.2,1.5,0.9,0.6
8,top,100,0,0.2,0.4,0.8,1.5,2.8,3.4,2.6,1.7,1
8,top,010,0,0.2,0.4,0.6,1.1,2.2,2.8,2.3,1.6,1
8,top,001,0,0.2,0.3,0.5,0.9,1.8,2.4,2.3,1.6,1
8,top,110,0,0.3,0.5,0.9,1.6,3.1,4.1,3.7,2.8,1.8
8,top,101,0,0.2,0.3,0.6,1.1,2.1,3.3,3.6,2.8,1.8
8,top,011,0,0.2,0.3,0.6,1.1,2.1,3.1,3.2,2.6,1.7
8,top,111,0,0.2,0.4,0.8,1.5,2.8,4.1,4.6,4,3
8,top,000,1,0.1,0.2,0.4,0.7,1.4,1.6,1,0.6,0.3
8,top,100,1,0.2,0.4,0.7,1.3,2.4,2.9,2,1.2,0.7
8,top,010,1,0.2,0.4,0.8,1.3,2.5,2.9,2,1.2,0.7
8,top,001,1,0.3,0.5,0.9,1.6,3.1,3.2,2,1.3,0.7
8,top,110,1,0.3,0.6,1.1,2,3.7,4.5,3.5,2.4,1.4
8,top,101,1,0.3,0.6,1.1,2,3.8,4.2,3.3,2.3,1.4
8,top,011,1,0.3,0.5,0.9,1.6,3,3.4,3.2,2.2,1.3
8,top,111,1,0.4,0.7,1.4,2.4,4.6,5.6,5.2,3.9,2.6
8,top,000,2,0.1,0.2,0.3,0.5,1,1.1,0.6,0.3,0.1
8,top,100,2,0.2,0.3,0.5,1,1.8,2.1,1.3,0.7,0.3
8,top,010,2,0.2,0.4,0.8,1.4,2.7,2.8,1.5,0.8,0.4
8,top,001,2,0.3,0.5,0.9,1.6,3.2,3.3,1.7,0.9,0.4
8,top,110,2,0.3,0.6,1,1.8,3.5,4,2.7,1.6,0.8
8,top,101,2,0.3,0.6,1.1,2,3.8,4.3,2.8,1.6,0.8
8,top,011,2,0.3,0.7,1.2,2.1,4,4.9,3.5,1.9,1
8,top,111,2,0.5,0.9,1.6,2.9,5.6,6.8,5.1,3.3,1.9
8,bottom,000,0,0.7,1.1,1.8,2.5,1.8,0.6,0.3,0.1,0.1
8,bottom,100,0,1.3,2.1,3.1,3.8,2.6,0.9,0.4,0.2,0.1
8,bottom,010,0,1.2,1.9,2.7,3.1,2,0.7,0.3,0.1,0.1
8,bottom,001,0,1.2,1.9,2.7,2.5,1.7,0.6,0.3,0.1,0.1
8,bottom,110,0,2.2,3.3,4.2,4.4,2.8,0.9,0.4,0.2,0.1
8,bottom,101,0,2.2,3.2,4.1,3.3,1.8,0.6,0.3,0.1,0.1
8,bottom,011,0,2.1,3,3.6,3.3,1.8,0.6,0.3,0.1,0.1
8,bottom,111,0,3.5,4.6,5,4.2,2.2,0.8,0.4,0.2,0.1
8,bottom,000,1,0.4,0.7,1.2,1.9,1.4,0.5,0.2,0.1,0
8,bottom,100,1,0.8,1.5,2.4,3.4,2.4,0.8,0.4,0.2,0.1
8,bottom,010,1,0.8,1.5,2.4,3.4,2.5,0.8,0.4,0.2,0.1
8,bottom,001,1,0.9,1.5,2.4,3.9,3.2,1,0.5,0.2,0.1
8,bottom,110,1,1.7,2.9,4.1,5.1,3.5,1.1,0.5,0.3,0.1
8,bottom,101,1,1.7,2.7,3.9,4.9,3.8,1.2,0.6,0.3,0.1
8,bottom,011,1,1.6,2.6,3.7,4,3,0.9,0.4,0.2,0.1
8,bottom,111,1,3.1,4.6,5.9,6.2,4.4,1.4,0.7,0.3,0.1
8,bottom,000,2,0.2,0.4,0.7,1.3,1.1,0.3,0.2,0.1,0
8,bottom,100,2,0.4,0.8,1.6,2.5,1.8,0.6,0.3,0.1,0.1
8,bottom,010,2,0.5,1,1.9,3.5,2.8,0.9,0.4,0.2,0.1
8,bottom,001,2,0.5,1.1,2.1,4.1,3.4,1,0.5,0.2,0.1
8,bottom,110,2,1,2,3.3,4.7,3.5,1.1,0.5,0.2,0.1
8,bottom,101,2,1,2,3.4,5.1,3.8,1.2,0.6,0.3,0.1
8,bottom,011,2,1.2,2.3,4.2,5.8,3.9,1.3,0.6,0.3,0.1
8,bottom,111,2,2.3,4,6.1,7.7,5.3,1.7,0.8,0.4,0.2
9,top,000,0,0.1,0.2,0.3,0.7,2.4,2.9,1.6,0.8,0.4
9,top,100,0,0.1,0.2,0.5,1.1,3.4,4.6,2.9,1.6,0.8
9,top,010,0,0.1,0.2,0.4,0.8,2.6,3.7,2.7,1.5,0.8
9,top,001,0,0.1,0.2,0.3,0.7,2.3,3.1,2.9,1.6,0.8
9,top,110,0,0.1,0.3,0.6,1.2,3.6,5.3,4.4,2.9,1.6
9,top,101,0,0.1,0.2,0.4,0.8,2.3,4.2,4.6,3,1.7
9,top,011,0,0.1,0.2,0.4,0.8,2.4,4,4,2.9,1.6
9,top,111,0,0.1,0.2,0.5,1,2.9,5.2,5.7,4.6,3.1
9,top,000,1,0.1,0.1,0.3,0.6,1.9,2.2,1,0.5,0.2
9,top,100,1,0.1,0.2,0.5,1,3.1,3.9,2.2,1,0.4
9,top,010,1,0.1,0.2,0.5,1,3.3,4,2.2,1,0.5
9,top,001,1,0.1,0.3,0.6,1.2,4.3,4.4,2.3,1.1,0.5
9,top,110,1,0.1,0.3,0.7,1.4,4.6,6.1,4,2.3,1.1
9,top,101,1,0.1,0.3,0.7,1.5,5,5.7,4,2.3,1.1
9,top,011,1,0.1,0.3,0.6,1.2,3.9,4.6,3.9,2.3,1.1
9,top,111,1,0.2,0.4,0.8,1.8,5.7,7.3,6.2,4.2,2.4
9,top,000,2,0.1,0.2,0.3,0.7,2.4,2.9,1.3,0.4,0.1
9,top,100,2,0.1,0.2,0.5,1.1,3.7,4,1.4,0.5,0.2
9,top,010,2,0.1,0.3,0.6,1.3,4.4,4.6,1.4,0.5,0.2
9,top,001,2,0.1,0.3,0.7,1.4,4.5,5.5,2.9,1.3,0.4
9,top,110,2,0.2,0.3,0.7,1.5,5,5.9,2.9,1.3,0.4
9,top,101,2,0.2,0.3,0.7,1.6,5.1,6.9,3.9,1.4,0.5
9,top,011,2,0.2,0.5,1,2.1,6.9,9.1,5.7,3.1,1.4
9,top,111,0,0.5,1,2,3.6,2.3,0,0,0,0
9,bottom,000,0,1,2,3.6,5.4,3.1,0,0,0,0
9,bottom,100,0,1,1.9,3.3,4.3,2.5,0,0,0,0
9,bottom,010,0,1.1,2,3.6,3.5,2.1,0,0,0,0
9,bottom,001,0,2,3.6,5.2,6,3.2,0,0,0,0
9,bottom,110,0,2.1,3.7,5.5,4.3,2.1,0,0,0,0
9,bottom,101,0,2,3.5,4.7,4.3,2,0,0,0,0
9,bottom,011,0,3.7,5.4,6.4,5.3,2.4,0,0,0,0
9,bottom,111,1,0.2,0.6,1.3,2.8,1.9,0,0,0,0
9,bottom,000,1,0.6,1.3,2.8,4.8,3,0,0,0,0
9,bottom,100,1,0.6,1.3,2.7,5,3.2,0,0,0,0
9,bottom,010,1,0.6,1.4,2.9,5.8,4.5,0,0,0,0
9,bottom,001,1,1.3,2.9,4.8,7.2,4.3,0,0,0,0
9,bottom,110,1,1.4,2.9,4.9,7.1,5,0,0,0,0
9,bottom,101,1,1.4,2.8,4.8,5.7,4,0,0,0,0
9,bottom,011,1,3,5.1,7.3,8.6,5.4,0,0,0,0
9,bottom,111,2,0.1,0.2,0.6,1.9,1.5,0,0,0,0
9,bottom,000,2,0.2,0.5,1.7,3.7,2.4,0,0,0,0
9,bottom,100,2,0.2,0.6,1.8,5.2,3.9,0,0,0,0
9,bottom,010,2,0.2,0.7,1.8,6.1,4.7,0,0,0,0
9,bottom,001,2,0.6,1.7,3.7,6.8,4.4,0,0,0,0
9,bottom,110,2,0.6,1.7,3.7,7.4,5,0,0,0,0
9,bottom,101,2,0.7,1.8,5.1,8.4,4.7,0,0,0,0
9,bottom,011,2,1.8,3.9,7,10.9,6.4,0,0,0,0
