Season,G,IP,Pace,Pitches,TBF
2008,2430,43357.2,21.7,714136,187631
2009,2428,43272,22,717053,187079
2010,2429,43305.1,22.1,710398,185553
2011,2430,43527.1,22.3,707845,185245
2012,2431,43355.1,22.8,705321,184179
2013,2430,43653.1,23.2,709916,184872
2014,2429,43613.2,23.6,704976,183928
2015,2430,43407.2,22.7,702307,183627
2016,2430,43306.1,23.2,715823,184577
2017,2428,43257,24.3,721249,185295
